"Prognose(-interval)";"Perioden";"Bevolking op 1 januari (aantal)";"Demografische druk/Grijze druk (%)";"Levend geboren kinderen (aantal)";"Totaal vruchtbaarheidscijfer (aantal)";"Periode-levensverwachting/Bij geboorte/Totaal (jaar)";"Periode-levensverwachting/Op de 65ste verjaardag/Totaal (jaar)";"Buitenlandse migratie/Immigratie (aantal)";"Buitenlandse migratie/Emigratie (inclusief correcties) (aantal)";"Buitenlandse migratie/Migratiesaldo (inclusief correcties) (aantal)"
"Prognose";"2021";;;179839;1,63;81,55;19,68;245160;138660;106500
"Prognose";"2022";17593654;34,1;178470;1,59;82,33;20,26;280910;158848;122063
"Prognose";"2023";17735740;34,7;183115;1,61;82,67;20,5;288563;181990;106573
"Prognose";"2024";17867972;35,4;186985;1,62;82,82;20,6;289479;204453;85026
"Prognose";"2025";17980258;36,1;190019;1,63;82,98;20,71;293378;213831;79547
"Prognose";"2026";18087801;36,9;193831;1,65;83,14;20,82;294732;220524;74209
"Prognose";"2027";18191476;37,8;195697;1,65;83,3;20,93;295894;225877;70017
"Prognose";"2028";18290434;38,7;198156;1,66;83,46;21,05;297283;229857;67426
"Prognose";"2029";18386810;39,6;200211;1,67;83,62;21,16;297032;232844;64188
"Prognose";"2030";18479493;40,5;201679;1,68;83,78;21,27;296506;234742;61764
"Prognose";"2031";18568669;41,3;202799;1,68;83,94;21,39;296341;235988;60353
"Prognose";"2032";18654974;42,1;203319;1,69;84,1;21,5;295627;236911;58716
"Prognose";"2033";18737584;42,9;203687;1,69;84,26;21,62;294901;237477;57424
"Prognose";"2034";18816721;43,6;203494;1,7;84,42;21,74;294116;237798;56318
"Prognose";"2035";18892060;44,5;202847;1,7;84,58;21,85;294056;238158;55898
"Prognose";"2036";18963910;45,3;201731;1,7;84,74;21,97;293943;238549;55394
"Prognose";"2037";19031818;46;200179;1,7;84,9;22,09;293783;238949;54834
"Prognose";"2038";19095411;46,4;198699;1,7;85,05;22,2;293616;239263;54353
"Prognose";"2039";19154980;46,7;197425;1,7;85,21;22,32;293434;239490;53944
"Prognose";"2040";19210964;46,8;196114;1,7;85,36;22,43;293245;239699;53546
"Prognose";"2041";19263513;46,7;194821;1,7;85,51;22,55;293030;239849;53181
"Prognose";"2042";19312846;46,6;193622;1,7;85,66;22,66;293021;240043;52978
"Prognose";"2043";19359369;46,5;192575;1,7;85,8;22,77;293019;240270;52749
"Prognose";"2044";19403360;46,4;191696;1,7;85,95;22,88;293026;240538;52488
"Prognose";"2045";19445093;46,3;190940;1,7;86,09;22,99;293031;240799;52232
"Prognose";"2046";19484754;46,2;190340;1,7;86,24;23,1;293043;241055;51988
"Prognose";"2047";19522654;46,1;189925;1,7;86,38;23,21;293046;241297;51749
"Prognose";"2048";19559025;45,9;189738;1,7;86,52;23,32;293071;241544;51527
"Prognose";"2049";19594106;45,7;189811;1,7;86,66;23,42;293120;241808;51312
"Prognose";"2050";19628162;45,5;190156;1,7;86,8;23,53;293201;242041;51160
"Prognose";"2051";19661560;45,4;190790;1,7;86,93;23,64;293315;242405;50910
"Prognose";"2052";19694556;45,4;191718;1,7;87,07;23,74;293393;242729;50664
"Prognose";"2053";19727566;45,3;192944;1,7;87,2;23,84;293475;242987;50488
"Prognose";"2054";19761104;45,3;194439;1,7;87,33;23,95;293590;243229;50361
"Prognose";"2055";19795671;45,3;196165;1,7;87,47;24,05;293682;243463;50219
"Prognose";"2056";19831694;45,4;198052;1,7;87,6;24,15;293780;243669;50111
"Prognose";"2057";19869610;45,6;200033;1,7;87,72;24,25;293909;243876;50033
"Prognose";"2058";19909801;45,7;202034;1,7;87,85;24,35;293996;244059;49937
"Prognose";"2059";19952531;45,9;203981;1,7;87,98;24,45;294077;244237;49840
"Prognose";"2060";19998015;46;205799;1,7;88,1;24,55;294215;244392;49823
"Prognose";"2061";20046448;46,2;207424;1,7;88,23;24,64;294306;244531;49775
"Prognose";"2062";20097847;46,4;208816;1,7;88,35;24,74;294422;244684;49738
"Prognose";"2063";20152189;46,6;209949;1,7;88,47;24,84;294504;244823;49681
"Prognose";"2064";20209356;46,9;210814;1,7;88,59;24,93;294584;244927;49657
"Prognose";"2065";20269220;47,3;211411;1,7;88,71;25,03;294666;245046;49620
"Prognose";"2066";20331528;47,8;211753;1,7;88,82;25,12;294757;245142;49615
"Prognose";"2067";20396016;48,2;211866;1,7;88,94;25,22;294834;245237;49597
"Prognose";"2068";20462352;48,6;211784;1,7;89,05;25,31;294897;245315;49582
"Prognose";"2069";20530187;49;211544;1,7;89,17;25,4;294968;245380;49588
"Prognose";"2070";20599185;49,3;211187;1,7;89,28;25,49;294968;245615;49353
"Ondergrens 95%-prognose-interval";"2021";;;171073;1,55;80,78;19,11;211888;124884;70296
"Ondergrens 95%-prognose-interval";"2022";17552104;34;166750;1,48;81,24;19,43;231803;139068;70331
"Ondergrens 95%-prognose-interval";"2023";17645729;34,4;168797;1,48;81,33;19,48;229582;156548;44895
"Ondergrens 95%-prognose-interval";"2024";17717886;34,8;170357;1,47;81,28;19,43;225050;174805;18881
"Ondergrens 95%-prognose-interval";"2025";17767898;35,4;171109;1,46;81,26;19,4;224231;180257;10418
"Ondergrens 95%-prognose-interval";"2026";17825189;35,9;172539;1,46;81,26;19,38;221689;183431;2908
"Ondergrens 95%-prognose-interval";"2027";17864353;36,5;171870;1,45;81,27;19,37;219404;185947;-3079
"Ondergrens 95%-prognose-interval";"2028";17894735;37,1;172104;1,45;81,29;19,37;218360;188265;-6333
"Ondergrens 95%-prognose-interval";"2029";17926009;37,8;172127;1,44;81,31;19,38;216040;189072;-9239
"Ondergrens 95%-prognose-interval";"2030";17952153;38,4;171574;1,44;81,35;19,39;214892;189525;-10864
"Ondergrens 95%-prognose-interval";"2031";17976078;38,9;170446;1,43;81,39;19,41;214099;189563;-12562
"Ondergrens 95%-prognose-interval";"2032";18003105;39,4;168790;1,43;81,44;19,44;210717;188805;-14170
"Ondergrens 95%-prognose-interval";"2033";18022763;39,9;167453;1,42;81,49;19,47;206976;187859;-15772
"Ondergrens 95%-prognose-interval";"2034";18031212;40,3;165551;1,42;81,54;19,5;203409;187699;-17629
"Ondergrens 95%-prognose-interval";"2035";18034780;40,9;163351;1,41;81,6;19,53;201397;187136;-20710
"Ondergrens 95%-prognose-interval";"2036";18032112;41,4;160684;1,4;81,66;19,57;200750;187119;-21951
"Ondergrens 95%-prognose-interval";"2037";18016489;41,6;157882;1,39;81,72;19,61;199785;187237;-23852
"Ondergrens 95%-prognose-interval";"2038";18030335;41,9;156009;1,38;81,78;19,64;199914;187045;-25066
"Ondergrens 95%-prognose-interval";"2039";18048126;41,7;153874;1,37;81,85;19,68;198354;186026;-26309
"Ondergrens 95%-prognose-interval";"2040";18025003;41,6;151681;1,36;81,91;19,73;197088;185293;-27772
"Ondergrens 95%-prognose-interval";"2041";17980076;41,5;149789;1,35;81,98;19,77;195816;183958;-29220
"Ondergrens 95%-prognose-interval";"2042";17970828;41,1;148291;1,35;82,04;19,81;195405;183337;-29072
"Ondergrens 95%-prognose-interval";"2043";17947179;40,6;147091;1,34;82,11;19,85;194987;182294;-29716
"Ondergrens 95%-prognose-interval";"2044";17937286;40,4;144873;1,33;82,18;19,89;194586;181648;-30235
"Ondergrens 95%-prognose-interval";"2045";17923843;40;143667;1,32;82,24;19,93;193745;180922;-29862
"Ondergrens 95%-prognose-interval";"2046";17914251;39,7;142439;1,32;82,31;19,98;193180;180698;-29839
"Ondergrens 95%-prognose-interval";"2047";17886852;39,6;141487;1,31;82,38;20,02;192384;179938;-30224
"Ondergrens 95%-prognose-interval";"2048";17849471;39,3;140494;1,3;82,45;20,07;191707;179863;-30078
"Ondergrens 95%-prognose-interval";"2049";17820158;39;139680;1,29;82,51;20,11;190836;179838;-29890
"Ondergrens 95%-prognose-interval";"2050";17785961;38,8;138922;1,29;82,58;20,15;189886;179727;-29681
"Ondergrens 95%-prognose-interval";"2051";17772192;38,4;138229;1,28;82,65;20,2;190322;179857;-29820
"Ondergrens 95%-prognose-interval";"2052";17696672;38,1;137552;1,27;82,71;20,24;190639;179906;-29899
"Ondergrens 95%-prognose-interval";"2053";17657329;37,8;136759;1,27;82,78;20,28;191123;179556;-30125
"Ondergrens 95%-prognose-interval";"2054";17585906;37,7;136642;1,26;82,84;20,33;190251;178908;-30595
"Ondergrens 95%-prognose-interval";"2055";17539597;37,6;136954;1,25;82,91;20,37;190898;178212;-31344
"Ondergrens 95%-prognose-interval";"2056";17530353;37,5;137947;1,25;82,97;20,41;191835;177435;-32464
